City,Eq_Latitude,Eq_Longitude,Magnitude,Depth
İzmir,38.233000000000004,26.6198,4.0,13.81
Çanakkale,40.2411,26.2518,4.0,16.24
Kütahya,39.13,29.0041,4.1,9.92
Çanakkale,40.4121,26.2645,4.2,21.06
Balıkesir,40.1931,27.9231,4.5,11.75
Tokat,40.0,36.3891,4.0,6.59
Van,38.6768,43.1676,4.0,7.34
Van,38.5696,43.1288,4.4,9.61
Çanakkale,40.3923,26.177,4.1,12.07
Erzurum,40.4911,42.3998,4.3,10.61
Van,38.8628,43.5591,4.3,12.38
Edirne,40.4411,26.041,4.5,28.65
Çanakkale,40.4128,26.1851,4.8,20.71
Çanakkale,40.376999999999995,26.1345,4.0,15.47
Çanakkale,40.3861,26.2146,4.0,25.58
Çanakkale,40.397,26.1291,4.3,24.92
Çanakkale,40.3888,26.1786,4.6,19.09
Çanakkale,40.4213,26.2166,4.4,7.13
Çanakkale,40.3951,26.3058,5.3,6.98
Muğla,37.0261,27.4613,4.1,11.18
İzmir,38.0225,27.051,4.1,8.23
Sivas,39.455,37.3521,4.2,6.97
Muğla,37.0345,28.8783,4.0,14.17
Van,37.8451,42.972,4.2,12.0
Malatya,38.1253,38.5763,4.0,12.25
Van,38.8508,43.5828,4.0,8.55
Van,38.859,43.549,4.2,9.2
Van,38.6781,43.1888,4.0,6.84
Adana,36.7391,35.1893,4.2,25.3
Kahramanmaraş,37.429,36.4001,4.4,11.55
Van,38.8368,43.563,4.6,11.67
Çanakkale,39.8125,26.1363,4.1,12.1
Osmaniye,37.264,36.247,4.0,8.31
Balıkesir,39.4531,27.9588,4.0,15.14
Çanakkale,39.7968,26.141,4.0,12.1
Antalya,36.9883,31.0406,4.1,52.38
Van,38.8776,43.5106,4.1,0.0
Tekirdağ,40.8155,27.908,4.0,9.06
Tekirdağ,40.8338,27.9051,4.5,18.83
Bolu,40.765,31.875999999999998,4.9,19.7
Osmaniye,37.37,36.242,4.1,17.57
Van,38.6801,43.2338,4.0,21.51
Muğla,36.9088,27.5408,4.0,22.18
Mersin,36.3508,34.3323,4.5,21.35
Muğla,36.7517,27.3967,4.3,113.45
Kars,39.988,42.9488,4.3,21.27
Van,38.8597,43.532,4.0,14.85
Van,38.6735,43.4187,4.5,17.03
Erzurum,39.6987,41.6773,4.3,11.24
Muş,39.0798,41.3833,4.0,21.97
Muş,39.0516,41.3988,4.9,19.01
Muş,39.0297,41.4348,4.5,19.46
Çanakkale,40.3493,27.459,4.3,26.15
Elazığ,38.3793,38.9065,4.2,18.24
Bursa,40.4132,29.1193,4.5,14.34
Kütahya,39.2092,29.416,4.4,20.86
Çorum,40.9952,34.3733,4.4,17.37
Kastamonu,41.1153,33.5258,4.3,13.44
Muğla,36.6242,27.9318,4.2,83.41
Kahramanmaraş,38.1072,37.0793,4.1,13.05
Van,38.8797,43.5823,4.0,17.52
Van,38.6247,43.6905,4.6,15.91
İzmir,38.8048,26.784000000000002,4.0,26.69
Kütahya,39.1392,29.022,4.1,15.61
Sivas,38.6155,37.3748,4.3,15.76
Kütahya,39.1362,29.0983,4.0,7.0
Muğla,37.0218,28.3715,4.2,16.61
Muğla,37.0053,28.41,4.4,20.87
Muğla,36.9827,28.4208,4.6,25.43
Antalya,36.9835,30.5023,4.3,53.53
Bingöl,39.0063,41.1835,4.4,15.64
Kahramanmaraş,37.3033,37.13,4.3,12.36
Kahramanmaraş,37.298,37.114000000000004,4.4,13.26
Kahramanmaraş,37.306,37.1017,4.2,7.89
Muğla,36.9433,27.7677,4.2,21.74
Kahramanmaraş,37.3105,37.1127,4.4,12.01
Kahramanmaraş,37.3173,37.1225,4.0,8.2
Osmaniye,37.3075,36.2097,4.0,19.96
Kahramanmaraş,37.3193,37.121,4.1,8.95
Çorum,40.1163,34.381,4.1,19.06
Kütahya,39.1203,29.0583,4.1,12.81
Van,38.674,43.3892,4.0,21.95
Amasya,40.8147,36.1693,4.3,20.62
Van,38.7548,43.5548,4.2,20.85
Hakkari,37.188,44.7523,4.1,4.09
Denizli,37.9095,29.3203,4.1,22.78
Gaziantep,37.1065,36.9522,4.2,12.99
Van,38.5935,43.22,4.3,22.41
Van,38.8235,43.6605,4.0,16.2
Malatya,37.9108,37.9265,4.3,7.6
Malatya,37.936,37.9788,4.7,15.35
Yozgat,39.8472,34.1,4.1,17.12
Kahramanmaraş,37.8497,37.0177,4.0,12.4
Bingöl,39.3738,40.9137,4.0,14.84
Osmaniye,37.328,36.236999999999995,4.1,20.12
Antalya,36.6823,31.5755,4.1,90.08
Van,38.8222,43.667,4.0,19.57
Muğla,36.6298,27.9543,4.0,4.05
Şanlıurfa,37.4735,38.3485,4.1,17.86
Muğla,37.2087,28.6405,4.2,20.27
Muğla,36.6177,27.9523,4.8,7.4
Muğla,36.5958,27.921999999999997,4.0,10.77
Muğla,36.6172,27.9445,4.1,4.45
Muğla,36.5883,27.9277,4.2,20.59
Muğla,36.6002,27.9387,4.3,11.66
Van,38.833,43.5725,4.5,17.53
Tunceli,39.489000000000004,39.8407,4.2,11.9
Kahramanmaraş,37.3262,37.133,4.0,27.95
Kahramanmaraş,37.3368,37.1902,4.0,7.1
Kahramanmaraş,37.3052,37.1202,4.4,27.71
Kahramanmaraş,37.3055,37.12,4.7,23.41
Van,38.676,43.1632,4.1,17.6
Muğla,36.68,27.96,4.0,2.0
Kütahya,39.1385,29.1787,4.1,21.35
Kahramanmaraş,37.271,37.1372,4.6,28.96
Kahramanmaraş,37.2773,37.1484,4.6,13.3
Kırşehir,39.3502,33.7987,4.5,19.84
Van,38.5477,43.748999999999995,4.0,6.23
Bitlis,38.7085,42.9545,4.3,18.56
Kahramanmaraş,37.3151,37.1366,4.0,12.88
Kahramanmaraş,37.29,37.1467,4.3,25.44
Kahramanmaraş,37.2838,37.1398,5.0,22.35
Kahramanmaraş,37.3145,37.1168,4.0,26.02
Adana,37.5058,35.6632,4.7,24.21
Kahramanmaraş,37.2895,37.1293,4.3,21.68
Manisa,38.974000000000004,27.6217,4.1,20.71
Tunceli,39.4928,39.9912,4.2,15.86
Manisa,38.7117,28.033,4.1,17.4
Ağrı,39.6515,43.7038,4.3,12.71
Ağrı,39.6547,43.6988,4.4,11.93
Manisa,38.7242,28.0463,4.2,22.21
Manisa,38.7327,28.053,4.0,18.05
Şırnak,37.4635,42.9798,5.1,12.94
Manisa,38.7178,28.069000000000003,4.2,22.94
Manisa,38.7202,28.065,4.6,22.61
Van,38.663000000000004,43.0523,4.2,22.51
Çanakkale,40.427,26.2208,4.6,27.77
Van,38.646,43.3355,4.3,12.66
Kahramanmaraş,37.574,36.3707,4.8,4.56
Van,38.6463,43.3748,4.3,19.55
Muğla,37.1728,28.2912,4.0,25.4
Sakarya,40.7608,30.4077,4.0,7.06
Balıkesir,39.9467,27.891,4.2,24.28
Van,38.749,43.3507,4.2,22.34
Van,39.0075,43.6643,4.0,1.21
Muğla,36.4422,28.9422,5.0,27.0
Van,38.7333,43.6672,4.9,23.62
Kütahya,39.1168,29.1593,4.9,25.91
Şırnak,37.2097,42.4585,4.2,8.69
Bitlis,38.0155,42.5203,4.2,4.51
Muğla,36.3662,29.0642,4.8,32.89
Şırnak,37.253,42.4628,4.1,8.26
Şırnak,37.1572,42.4437,5.2,11.68
Şırnak,37.2242,42.4355,4.0,11.06
Muğla,36.4807,28.9013,4.5,27.33
Kütahya,39.107,29.1483,4.3,21.58
Muğla,36.4578,28.9283,4.5,28.02
Muğla,36.4575,28.9837,4.3,27.87
Muğla,36.4112,28.9907,4.4,27.94
Muğla,36.4267,29.0053,4.0,28.69
Muğla,36.4258,28.9788,4.4,28.19
Muğla,36.4242,28.9442,4.0,28.32
Muğla,36.4737,28.9608,4.5,28.64
Muğla,36.483000000000004,29.2245,4.0,7.34
Muğla,36.4912,28.9612,4.4,7.13
Muğla,36.4762,28.9295,5.0,26.85
Muğla,36.36,28.93,6.1,30.0
Muğla,37.0387,28.4823,4.2,20.92
Tekirdağ,40.854,27.9235,5.0,14.9
Muğla,36.9163,28.201999999999998,4.6,12.11
Malatya,38.1522,38.5873,4.8,12.22
Muğla,36.9345,27.5747,4.2,18.38
Van,38.747,43.2185,4.0,22.03
Balıkesir,39.4612,27.9018,4.0,7.01
Kütahya,39.1032,29.1572,4.3,8.98
Ağrı,39.8542,42.8377,4.0,8.8
Muğla,37.0355,28.5287,4.3,23.36
Çanakkale,40.3278,27.018,4.2,23.85
Kütahya,39.1195,29.1023,4.5,23.94
Kütahya,39.1352,29.1057,4.7,14.22
Kütahya,39.135999999999996,29.0968,4.4,23.7
Kütahya,39.1018,29.039,4.6,25.41
Kütahya,39.1205,29.1262,4.0,6.99
Kütahya,39.1245,29.11,5.2,10.59
İzmir,38.655,26.6305,4.1,26.18
İzmir,38.6653,26.6632,4.3,22.18
İzmir,38.6687,26.6345,4.4,27.18
İzmir,38.663000000000004,26.6412,4.3,26.01
İzmir,38.646,26.6262,4.8,26.27
Diyarbakır,38.5172,40.741,4.6,22.47
Kütahya,39.1312,29.1128,4.8,25.54
Kütahya,39.0545,29.149,4.0,6.96
Kütahya,39.124,29.1438,4.3,6.31
Kütahya,39.1525,29.0975,4.4,20.59
Kütahya,39.111,29.1382,4.5,7.49
Van,38.904,43.5255,4.2,13.18
Kütahya,39.1468,29.1142,4.5,6.99
Kütahya,39.1097,29.136,4.6,7.0
Kütahya,39.1227,29.1222,4.7,6.9
Van,38.6763,43.2283,4.3,22.51
Van,39.03,44.1672,4.3,4.28
Van,38.6813,43.0678,4.0,16.5
Malatya,38.1457,39.0462,4.0,13.81
Muğla,36.7742,28.166,4.0,53.5
Bingöl,39.3475,41.0317,4.3,18.65
Van,38.8607,43.5835,4.4,15.42
Denizli,37.921,29.4537,4.3,23.39
Muş,39.23,42.28,5.2,17.0
Van,38.8948,43.6553,4.2,9.7
Van,38.9013,43.6092,4.4,6.53
Çanakkale,39.6112,26.065,4.0,24.8
Van,38.4668,43.696000000000005,4.0,6.97
Van,38.5527,44.0867,4.2,3.87
Van,38.6527,43.0395,4.0,19.1
Van,38.7437,43.607,4.0,15.75
Van,38.7349,43.2211,4.0,12.68
Van,38.8278,43.5653,4.5,22.09
Çanakkale,39.5937,26.0725,4.0,23.52
